X,CH1,CH3
0.0053200004622,-0.46,-0.27
0.0053600003012,-0.46,-0.264
0.0054000001401,-0.54,-0.35
0.0054400004447,-0.56,-0.346
0.0054800002836,-0.62,-0.43210000000000004
0.0055200005881,-0.64,-0.42800000000000005
0.0055600004271,-0.7,-0.4921
0.005600000266,-0.7,-0.51
0.0056400005706,-0.76,-0.5740000000000001
0.0056800004095,-0.78,-0.5900000000000001
0.0057200002484,-0.84,-0.656
0.005760000553,-0.86,-0.6581
0.0058000003919,-0.92,-0.734
0.0058400002308,-0.92,-0.736
0.0058800005354,-0.98,-0.8001
0.0059200003743,-0.98,-0.8201
0.0059600002132,-1.04,-0.8841
0.0060000005178,-1.04,-0.8801
0.0060400003567,-1.12,-0.9480000000000001
0.0060800001957,-1.12,-0.9460000000000001
0.0061200005002,-1.18,-1.01
0.0061600003392,-1.18,-1.01
0.0062000001781,-1.24,-1.0740999999999998
0.0062400004826,-1.24,-1.0719999999999998
0.0062800003216,-1.28,-1.138
0.0063200006261,-1.3,-1.156
0.0063600004651,-1.34,-1.202
0.006400000304,-1.34,-1.198
0.0064400006086,-1.38,-1.246
0.0064800004475,-1.4,-1.242
0.0065200002864,-1.42,-1.312
0.006560000591,-1.44,-1.308
0.0066000004299,-1.48,-1.3539999999999999
0.0066400002688,-1.46,-1.3539999999999999
0.0066800005734,-1.52,-1.4
0.0067200004123,-1.52,-1.416
0.0067600002512,-1.54,-1.462
0.0068000005558,-1.54,-1.444
0.0068400003947,-1.58,-1.486
0.0068800002337,-1.58,-1.486
0.0069200005382,-1.6,-1.534
0.0069600003771,-1.6,-1.536
0.0070000006817,-1.62,-1.552
0.0070400005206,-1.62,-1.576
0.0070800003596,-1.64,-1.564
0.0071200006641,-1.66,-1.58
0.0071600005031,-1.64,-1.608
0.007200000342,-1.66,-1.606
0.0072400006466,-1.66,-1.654
0.0072800004855,-1.66,-1.63
0.0073200003244,-1.68,-1.658
0.007360000629,-1.66,-1.658
0.0074000004679,-1.68,-1.64
0.0074400003068,-1.66,-1.662
0.0074800006114,-1.68,-1.668
0.0075200004503,-1.66,-1.666
0.0075600002892,-1.66,-1.672
0.0076000005938,-1.66,-1.672
0.0076400004327,-1.64,-1.658
0.0076800007373,-1.64,-1.678
0.0077200005762,-1.62,-1.666
0.0077600004151,-1.62,-1.662
0.0078000007197,-1.62,-1.6480000000000001
0.007840000093,-1.6,-1.6460000000000001
0.0078800003976,-1.62,-1.6340000000000001
0.0079200007021,-1.58,-1.6520000000000001
0.0079600000754,-1.56,-1.6400000000000001
0.00800000038,-1.56,-1.6360000000000001
0.0080400006846,-1.54,-1.606
0.0080800009891,-1.52,-1.6260000000000001
0.0081200003624,-1.5,-1.57
0.008160000667,-1.48,-1.568
0.0082000009716,-1.46,-1.554
0.0082400003448,-1.46,-1.554
0.0082800006494,-1.42,-1.52
0.008320000954,-1.4,-1.52
0.0083600003272,-1.36,-1.484
0.0084000006318,-1.36,-1.482
0.0084400009364,-1.32,-1.4300000000000002
0.0084800003096,-1.3,-1.4259000000000002
0.0085200006142,-1.26,-1.3940000000000001
0.0085600009188,-1.26,-1.3900000000000001
0.0086000002921,-1.2,-1.358
0.0086400005966,-1.2,-1.3359
0.0086800009012,-1.14,-1.2999
0.0087200002745,-1.14,-1.278
0.0087600005791,-1.08,-1.246
0.0088000008836,-1.08,-1.2399
0.0088400002569,-1.02,-1.1860000000000002
0.0088800005615,-1.0,-1.1840000000000002
0.0089200008661,-0.96,-1.1300000000000001
0.0089600002393,-0.94,-1.1340000000000001
0.0090000005439,-0.88,-1.0679
0.0090400008485,-0.88,-1.052
0.0090800002217,-0.82,-0.978
0.0091200005263,-0.82,-0.994
0.0091600008309,-0.74,-0.94
0.0092000002041,-0.72,-0.9359999999999999
0.0092400005087,-0.66,-0.862
0.0092800008133,-0.66,-0.864
0.0093200001866,-0.58,-0.7999999999999999
0.0093600004911,-0.58,-0.784
0.0094000007957,-0.5,-0.708
0.009440000169,-0.5,-0.724
0.0094800004736,-0.44,-0.65
0.0095200007781,-0.42,-0.648
0.0095600010827,-0.34,-0.5720000000000001
0.009600000456,-0.34,-0.5720000000000001
0.0096400007606,-0.26,-0.46799999999999997
0.0096800010651,-0.26,-0.46799999999999997
0.0097200004384,-0.18,-0.394
0.009760000743,-0.18,-0.394
0.0098000010476,-0.1,-0.33
0.0098400004208,-0.0799,-0.33
0.0098800007254,0.0,-0.254
0.00992000103,0.02,-0.23199999999999998
0.0099600004032,0.0799,-0.128
0.010000000708,0.1,-0.13
0.010040001012,0.16,-0.05600000000000001
0.010080000386,0.18,-0.054000000000000006
0.01012000069,0.26,0.030000000000000013
0.010160000995,0.26,0.02800000000000001
0.010200000368,0.32,0.106
0.010240000673,0.34,0.13
0.010280000977,0.42,0.186
0.01032000035,0.42,0.21200000000000002
0.010360000655,0.5,0.268
0.01040000096,0.5,0.29000000000000004
0.010440000333,0.56,0.35400000000000004
0.010480000637,0.58,0.37
0.010520000942,0.64,0.43400000000000005
0.010560000315,0.66,0.45400000000000007
0.01060000062,0.72,0.498
0.010640000924,0.72,0.514
0.010680000298,0.78,0.598
0.010720000602,0.8,0.596
0.010760000907,0.86,0.662
0.01080000028,0.88,0.662
0.010840000585,0.92,0.74
0.010880000889,0.94,0.74
0.010920000263,1.02,0.808
0.010960000567,1.02,0.804
0.011000000872,1.08,0.87
0.011040001176,1.08,0.8721
0.01108000055,1.12,0.9480000000000001
0.011120000854,1.12,0.9521000000000001
0.011160001159,1.18,1.016
0.011200000532,1.18,1.0121
0.011240000837,1.24,1.0819999999999999
0.011280001141,1.24,1.0800999999999998
0.011320000514,1.28,1.1240999999999999
0.011360000819,1.28,1.142
0.011400001124,1.34,1.186
0.011440000497,1.34,1.19
0.011480000801,1.38,1.246
0.011520001106,1.38,1.25
0.011560000479,1.44,1.296
0.011600000784,1.42,1.2941
0.011640001088,1.46,1.3419999999999999
0.011680000462,1.48,1.3399999999999999
0.011720000766,1.52,1.384
0.011760001071,1.5,1.382
0.011800000444,1.54,1.428
0.011840000749,1.54,1.448
0.011880001053,1.56,1.494
0.011920000426,1.56,1.472
0.011960000731,1.58,1.502
